Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Name
12.0,8.0,50.3,3.6,4.7,Celtis australis
8.3,6.7,35.2,2.5,3.5,Celtis australis
13.0,4.0,12.6,3.9,19.0,Aesculus hippocastanum
13.0,10.0,78.5,3.9,5.4,Celtis australis
7.0,3.0,7.1,2.1,5.2,Platanus x hispanica
6.0,6.0,28.3,1.8,2.6,Celtis australis
4.0,4.0,12.6,1.2,2.1,Celtis australis
6.0,4.0,12.6,1.8,6.1,Carpinus betulus
6.0,4.0,12.6,1.8,7.2,Platanus x hispanica
14.0,7.0,38.5,4.2,5.5,Celtis australis
16.0,4.0,12.6,4.8,4.3,Celtis australis
10.0,6.0,28.3,3.0,18.6,Aesculus hippocastanum
9.0,7.0,38.5,2.7,27.5,Aesculus hippocastanum
6.0,4.0,12.6,1.8,11.9,Aesculus hippocastanum
18.0,11.0,95.0,5.4,5.0,Celtis australis
15.0,8.0,50.3,4.5,73.2,Aesculus hippocastanum
10.0,7.0,38.5,3.0,30.3,Platanus x hispanica
5.0,8.0,50.3,1.5,14.1,Carpinus betulus
24.0,26.0,530.9,7.2,21.7,Platanus x hispanica
7.0,4.0,12.6,2.1,15.0,Aesculus hippocastanum
11.0,10.0,78.5,3.3,29.8,Aesculus hippocastanum
6.0,3.0,7.1,1.8,6.5,Platanus x hispanica
25.0,20.0,314.2,7.5,21.7,Platanus x hispanica
4.0,2.0,3.1,1.2,8.6,Carpinus betulus
8.0,6.0,28.3,2.4,25.5,Aesculus hippocastanum
22.0,13.0,132.7,6.6,28.1,Platanus x hispanica
5.0,4.0,12.6,1.5,7.8,Aesculus hippocastanum
5.0,1.5,1.8,1.5,2.5,Platanus x hispanica
10.0,6.0,28.3,3.0,3.1,Celtis australis
8.3,6.7,35.2,2.5,3.5,Celtis australis
4.0,2.0,3.1,1.2,1.8,Tilia cordata
13.0,13.0,132.7,3.9,5.5,Celtis australis
12.0,8.0,50.3,3.6,23.8,Platanus x hispanica
17.0,18.0,254.5,5.1,97.2,Platanus x hispanica
21.0,12.0,113.1,6.3,82.6,Platanus x hispanica
7.0,3.0,7.1,2.1,8.0,Aesculus hippocastanum
10.0,14.0,153.9,3.0,46.9,Aesculus hippocastanum
8.0,6.0,28.3,2.4,14.8,Carpinus betulus
5.5,3.5,9.6,1.7,5.0,Aesculus hippocastanum
4.0,5.0,19.6,1.2,4.5,Celtis australis
5.0,1.0,0.8,1.5,3.0,Platanus x hispanica
8.0,8.0,50.3,2.4,9.4,Platanus x hispanica
10.0,10.0,78.5,3.0,3.1,Celtis australis
10.0,8.0,50.3,3.0,3.7,Celtis australis
