Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr)
Aesculus hippocastanum,6.0,6.0,28.3,1.8,3.4
Aesculus hippocastanum,12.0,8.0,50.3,3.6,13.6
Aesculus hippocastanum,12.0,15.0,176.7,3.6,17.0
Aesculus hippocastanum,8.4,6.0,28.3,2.5,7.9
Aesculus hippocastanum,8.4,6.0,28.3,2.5,7.9
Aesculus hippocastanum,8.4,6.0,28.3,2.5,7.9
Aesculus hippocastanum,8.0,8.0,50.3,2.4,17.5
Aesculus hippocastanum,14.0,8.0,50.3,4.2,14.5
Aesculus hippocastanum,6.0,6.0,28.3,1.8,6.2
Aesculus hippocastanum,13.0,5.0,19.6,3.9,11.7
Aesculus hippocastanum,3.5,1.5,1.8,1.0,0.9
Aesculus hippocastanum,3.5,1.5,1.8,1.0,0.9
Aesculus hippocastanum,3.5,1.5,1.8,1.0,0.9
Aesculus hippocastanum,3.5,1.5,1.8,1.0,0.9
Aesculus hippocastanum,9.0,9.0,63.6,2.7,7.9
Aesculus hippocastanum,10.0,10.0,78.5,3.0,9.0
Aesculus hippocastanum,10.0,12.0,113.1,3.0,15.5
Aesculus hippocastanum,9.0,10.0,78.5,2.7,17.5
Aesculus hippocastanum,12.0,12.0,113.1,3.6,10.5
Aesculus hippocastanum,9.0,11.0,95.0,2.7,14.2
Aesculus hippocastanum,9.0,11.0,95.0,2.7,14.2
Aesculus hippocastanum,7.0,8.0,50.3,2.1,8.8
Aesculus hippocastanum,8.0,11.0,95.0,2.4,15.3
