Neighborhood,Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Count
CENTRO STORICO PIEDICASTELLO,Other,8,15,176.7,2.4,46.2,2
OLTREFERSINA,Other,12,10,78.5,3.6,45.7,1
OLTREFERSINA,Other,2.5,5.3,21.7,0.8,28.4,3
CENTRO STORICO PIEDICASTELLO,Other,6,7,38.5,1.8,6.4,2
GARDOLO,Celtis australis,8,8,50.3,2.4,2.6,1
S.GIUSEPPE-S.CHIARA,Other,11,6,28.3,3.3,12.6,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,15,11.5,103.9,4.5,5.5,1
OLTREFERSINA,Other,6,3,7.1,1.8,4.6,1
S.GIUSEPPE-S.CHIARA,Other,6,4,12.6,1.8,5.7,4
S.GIUSEPPE-S.CHIARA,Celtis australis,15,8,50.3,4.5,3.5,1
OLTREFERSINA,Other,4,3,7.1,1.2,4,1
OLTREFERSINA,Celtis australis,12.5,11,95,3.8,4.8,1
OLTREFERSINA,Other,4,3.5,9.6,1.2,10.8,1
S.GIUSEPPE-S.CHIARA,Other,10,10,78.5,3,9.300000000000001,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,5,4,12.6,1.5,8.4,2
CENTRO STORICO PIEDICASTELLO,Other,4,2.5,4.9,1.2,3.6,1
S.GIUSEPPE-S.CHIARA,Other,5,1.5,1.8,1.5,2.1,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,18,10,78.5,5.4,82.59999999999999,1
CENTRO STORICO PIEDICASTELLO,Other,3,3,7.1,0.9,3.1,1
S.GIUSEPPE-S.CHIARA,Other,6,2,3.1,1.8,5.2,1
SARDAGNA,Other,6,4,12.6,1.8,3.2,2
GARDOLO,Tilia cordata,4.5,4,12.6,1.3,4.7,1
OLTREFERSINA,Other,12,16,201.1,3.6,33.9,1
OLTREFERSINA,Other,6,4,12.6,1.8,9.1,1
S.GIUSEPPE-S.CHIARA,Other,10,12,113.1,3,61.8,1
CENTRO STORICO PIEDICASTELLO,Other,5,2,3.1,1.5,5.6,2
MEANO,Celtis australis,14,7,38.5,4.2,5.5,2
VILLAZZANO,Celtis australis,4.5,5,19.6,1.3,2.6,1
CENTRO STORICO PIEDICASTELLO,Other,5,6,28.3,1.5,6.1,1
CENTRO STORICO PIEDICASTELLO,Other,14,12,113.1,4.2,32.2,1
OLTREFERSINA,Other,5,2.5,4.9,1.5,4.9,1
S.GIUSEPPE-S.CHIARA,Other,5,6,28.3,1.5,24.2,1
MATTARELLO,Celtis australis,5,2,3.1,1.5,2.3,1
S.GIUSEPPE-S.CHIARA,Other,16,16,201.1,4.8,51.7,1
